CEP	MODALIDADE DE RISCO	Escore	ESTADO	MUNICÍPIO	BAIRRO	"AEROPORTO - PORTO - RODOVIÁRIA - FAVELA - PRESÍDIO -
PAÍS(ES) FRONTEIRIÇO(S)"	LINK GOOGLE MAPS													
02051-030	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02051-040	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02051-050	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-000	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-001	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-010	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-020	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-030	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-040	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-043	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-045	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-050	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-060	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-070	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-080	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-090	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-100	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02052-107	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02053-000	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02053-001	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02053-002	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02053-003	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02053-006	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02053-008	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02054-005	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02054-010	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02054-020	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02054-030	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02054-040	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02054-050	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02054-060	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02054-070	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02054-090	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02054-100	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02054-110	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02055-000	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02055-001	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02055-006	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02055-020	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02055-030	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02055-040	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02055-050	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02055-060	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02055-070	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02055-080	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02055-090	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
